company,tax_id,license,address,fit_hint
Công ty Cổ phần Khu Công nghiệp Hiệp Phước,0305046979,28047,"Khu B, Đường số 01, Khu Công Nghiệp Hiệp Phước, Xã Hiệp Phước, Huyện Nhà Bè
Trung tâm sinh",
Công ty TNHH Thương Mại - Dịch Vụ Phát Việt,0302314475,5757,"số 247 Bis Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận",
Công ty TNHH Quess Corp Việt Nam,0314944513,22454/2024/44/SLĐTBXH-VLATLĐ,"Lầu 6, Saigon Building, số 428 Trường Sa, Phường 02, quận Phú Nhuận",
Công ty TNHH Thương Mại Dịch Vụ Viễn Thông Thiên Tú,0302171851,22668/2024/45/SLĐTBXH-VLATLĐ,"145B Nguyễn Đình Chính, Phường 11, quận Phú Nhuận",
Công ty TNHH Ancor Recruitment,0318310959,27381/2024/55/SLĐTBXH-VLATLĐ,"G.03, Tầng G, Archwater Building, số 284/9 Đường Nguyễn Trọng Tuyển, Phường 10, quận Phú N",yes
Công ty TNHH Pasona Tech Việt Nam,0303189770,34428/2022/31/SLĐTBXH-VLATLĐ,"Toà nhà E-town, Số 364 Cộng Hòa, Phường 13, Quận Tân Bình",yes
Công ty Trách nhiệm hữu hạn CareerLink,0400539269,31116,"270-272, Cộng Hòa, Phường 13, Quận Tân Bình",
Công ty Trách nhiệm hữu hạn Ê Su Hai,0304401652,20830,"40/12-40/14 Ấp Bắc, Phường 13, Quận Tân Bình",
Công ty TNHH Kế toán Quốc tế,0310369132,42280,"39B Trường Sơn, Phường 4, Quận Tân Bình",
Công ty TNHH Talent JDI,0316651287,26789/2023/55/SLĐTBXH-VLATLĐ,"Tầng 9, số 458 Cách Mạng Tháng Tám, Phường 4, Quận Tân Bình",yes
Công ty TNHH Grow Up JV,0315261823,2047/2024/08/SLĐTBXH-VLATLĐ,"Tầng 3-LLQ, Tòa nhà QCoop, Số 647 Lý Thường Kiệt, Phường 11, Quận Tân Bình",
Công ty TNHH Esuworks,0316969489,36143/2021/07/SLĐTBXH-VLATLĐ,"40/12-40/14 Ấp Bắc, Phường 13, Quận Tân Bình",
Công ty TNHH Esucare,0316583118,38888/2021/08/SLĐTBXH-VLATLĐ,"232/43 Cộng Hòa, Phường 12, Quận Tân Bình",
Công ty TNHH Matchday,0317396417,33262/2022/29/SLĐTBXH-VLATLĐ,"1086 Âu Cơ, Phường 14, Quận Tân Bình",
Công ty Cổ phần Dịch vụ Nhân Lực Toàn Cầu,0305385957,34429/2022/32/SLĐTBXH-VLATLĐ,"50 Sầm Sơn, Phường 4, Quận Tân Bình",yes
Công ty CP Weploy Vietnam,0317326240,2590/2023/03/SLĐTBXH-VLATLĐ,"491/1 Trường Chinh, Phường 14, Quận Tân Bình",
Công ty TNHH Cung Ứng Nhân Lực DC Handel Việt Nam,0310358821,3785/2023/06/SLĐTBXH-VLATLĐ,"Tầng 1, số 34 Hoàng Việt, Phường 4, Quận Tân Bình",yes
Công ty TNHH Vnib Tech,0313636202,16211/2023/34/SLĐTBXH-VLATLĐ,"307B Nguyễn Văn Trỗi, Phường 1, Quận Tân Bình",yes
Công ty Cổ phần Bpo Mắt Bão,0312722025,23568/2024/50/SLĐTBXH-VLATLĐ,"Số 12A Núi Thành, Phường 13, quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",
Công ty TNHH Nguyễn An Nam,0316936758,23569/2024/51/SLĐTBXH-VLATLĐ,"34 Tiền Giang, Phường 2, quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",
Công ty Cổ phần Xuất Nhập Khẩu và Hợp Tác Quốc Tế Hr-Tracimeco,0313542755,22419/2022/19/SLĐTBXH-VLATLĐ,"440/71 Bình Long, Phường Tân Quý, Quận Tân Phú.",yes
Công ty Trách nhiệm hữu hạn Baxro,0318413464,15434/2024/32/SLĐTBXH-VLATLĐ,"144 Lê Thiệt, phường Phú Thọ Hòa, quận Tân Phú",
Công ty TNHH Vietseiko,0314789339,17986,"108/17 đường 79, khu phố 5, Phường Tăng Nhơn Phú B, Tp Thủ Đức",
CÔNG TY TNHH SHASU GROUP,0311215858,24678/2023/51/SLĐTBXH-VLATLĐ,"Số 3 Đường 357, Phường Phước Long B, thành phố Thủ  Đức",
Công ty CP Nhân Lực Harumi,0316370328,4178/2022/05/SLĐTBXH-VLATLĐ,"169/1/19 Lương Định Của, Phường An Khánh, Thành phố Thủ Đức",yes
